SampleID	RAS_WSC_12_2016_1
d:Archaea,p:Crenarchaeota,c:Nitrososphaeria,o:Nitrosopumilales,f:Nitrosopumilaceae 	 9
d:Archaea,p:Thermoplasmatota,c:Thermoplasmata,o:Marine_Group_II,f:Marine_Group_II 	 1
d:Bacteria,p:Actinobacteriota,c:Acidimicrobiia,o:Microtrichales,f:Ilumatobacteraceae 	 1
d:Bacteria,p:Actinobacteriota,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae 	 1
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Flavobacteriaceae 	 5
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group 	 3
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Sphingobacteriales,f:KD3-93 	 1
d:Bacteria,p:Chloroflexi,c:Anaerolineae,o:Anaerolineales,f:Anaerolineaceae 	 1
d:Bacteria,p:Dadabacteria,c:Dadabacteriia,o:Dadabacteriales,f:Dadabacteriales 	 1
d:Bacteria,p:Gemmatimonadota,c:BD2-11_terrestrial_group,o:BD2-11_terrestrial_group,f:BD2-11_terrestrial_group 	 2
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:Marinimicrobia_(SAR406_clade),o:Marinimicrobia_(SAR406_clade),f:Marinimicrobia_(SAR406_clade) 	 5
d:Bacteria,p:Nitrospinota,c:Nitrospinia,o:Nitrospinales,f:Nitrospinaceae 	 2
d:Bacteria,p:PAUC34f,c:PAUC34f,o:PAUC34f,f:PAUC34f 	 4
d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Planctomycetales,f:Rubinisphaeraceae 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:AT-s3-44,f:AT-s3-44 	 5
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Defluviicoccales,f:uncultured 	 9
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Parvibaculales,f:PS1_clade 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Parvibaculales,f:Parvibaculaceae 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Puniceispirillales,f:SAR116_clade 	 2
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae 	 13
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:AEGEAN-169_marine_group 	 50
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Magnetospiraceae 	 15
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_I 	 98
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_II 	 33
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_III 	 2
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_IV 	 8
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Thalassobaculales,f:Nisaeaceae 	 12
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:uncultured,f:uncultured 	 4
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Arenicellales,f:Arenicellaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Methylophilaceae 	 15
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Nitrosomonadaceae 	 4
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:EPR3968-O8a-Bc78,f:EPR3968-O8a-Bc78 	 2
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacterales,f:Colwelliaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacterales,f:Pseudoalteromonadaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Ga0077536,f:Ga0077536 	 4
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:HOC36,f:HOC36 	 8
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:HgCo23,f:HgCo23 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:KI89A_clade 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:OM182_clade 	 4
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Porticoccaceae 	 7
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudohongiellaceae 	 9
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadales 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:SAR86_clade 	 137
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Thioglobaceae 	 28
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Steroidobacterales,f:Woeseiaceae 	 28
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:UBA10353_marine_group,f:UBA10353_marine_group 	 8
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:uncultured,f:uncultured 	 2
d:Bacteria,p:SAR324_clade(Marine_group_B),c:SAR324_clade(Marine_group_B),o:SAR324_clade(Marine_group_B),f:SAR324_clade(Marine_group_B) 	 1
d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Arctic97B-4_marine_group,f:Arctic97B-4_marine_group 	 18
d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Opitutales,f:Puniceicoccaceae 	 3
d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Rubritaleaceae 	 1
d:Eukaryota,p:Dinoflagellata,c:Dinophyceae,o:Gymnodiniphycidae,f:Gymnodiniphycidae 	 1
d:Eukaryota,p:Protalveolata,c:Syndiniales,o:Syndiniales,f:Syndiniales_Group_I 	 1
