SampleID	RAS_WSC_07_2017_1
d:Eukaryota,p:Amoebozoa,c:Discosea,o:Vannellida,f:Vannellida 	 2
d:Eukaryota,p:Arthropoda,c:Maxillopoda,o:Calanoida,f:Calanoida 	 77
d:Eukaryota,p:Arthropoda,c:Maxillopoda,o:Cyclopoida,f:Cyclopoida 	 2
d:Eukaryota,p:Chlorophyta,c:Mamiellophyceae,o:Mamiellales,f:Mamiellales 	 1
d:Eukaryota,p:Ciliophora,c:Intramacronucleata,o:Spirotrichea,f:Choreotrichia 	 6
d:Eukaryota,p:Ciliophora,c:Intramacronucleata,o:Spirotrichea,f:Oligotrichia 	 35
d:Eukaryota,p:Diatomea,c:Bacillariophyceae,o:Bacillariophyceae,f:Bacillariophyceae 	 3
d:Eukaryota,p:Diatomea,c:Diatomea,o:ME-Euk-FW10,f:ME-Euk-FW10 	 1
d:Eukaryota,p:Diatomea,c:Mediophyceae,o:Mediophyceae,f:Mediophyceae 	 10
d:Eukaryota,p:Dinoflagellata,c:Dinophyceae,o:Gymnodiniphycidae,f:Gymnodiniphycidae 	 1
d:Eukaryota,p:Dinoflagellata,c:Dinophyceae,o:Gymnodiniphycidae,f:Kareniaceae 	 2
d:Eukaryota,p:Dinoflagellata,c:Dinophyceae,o:Gymnodiniphycidae,f:Suessiaceae 	 2
d:Eukaryota,p:Dinoflagellata,c:Dinophyceae,o:Peridiniales,f:Peridiniales 	 1
d:Eukaryota,p:Dinoflagellata,c:Dinophyceae,o:uncultured,f:uncultured 	 1
d:Eukaryota,p:Euglenozoa,c:Euglenida,o:Euglenophyceae,f:Euglenaceae 	 1
d:Eukaryota,p:MAST-3,c:MAST-3L,o:MAST-3L,f:MAST-3L 	 1
d:Eukaryota,p:Ochrophyta,c:Pelagophyceae,o:Pelagomonadales,f:Pelagomonadales 	 2
d:Eukaryota,p:Ochrophyta,c:Pelagophyceae,o:Sarcinochrysidales,f:Sarcinochrysidales 	 1
d:Eukaryota,p:Protalveolata,c:Syndiniales,o:Syndiniales,f:Syndiniales 	 1
d:Eukaryota,p:Protalveolata,c:Syndiniales,o:Syndiniales,f:Syndiniales_Group_I 	 2
d:Eukaryota,p:Retaria,c:Acantharia,o:Acantharea_Group_I,f:Acantharea_Group_I 	 2
d:Eukaryota,p:uncultured,c:uncultured,o:uncultured,f:uncultured 	 3
