SampleID	RAS_WSC_07_2017_3
d:Unclassified	 15
d:Alveolata,k:Eukaryota,p:Ciliophora,c:Phyllopharyngea,o:Cyrtophoria_1 	 2
d:Alveolata,k:Eukaryota,p:Ciliophora,c:Phyllopharyngea,o:Suctoria 	 1
d:Alveolata,k:Eukaryota,p:Ciliophora,c:Spirotrichea,o:Choreotrichida 	 6
d:Alveolata,k:Eukaryota,p:Ciliophora,c:Spirotrichea,o:Strombidiida 	 25
d:Alveolata,k:Eukaryota,p:Ciliophora,c:Spirotrichea,o:Strombidiida_C 	 1
d:Alveolata,k:Eukaryota,p:Ciliophora,c:Spirotrichea,o:Tintinnida 	 3
d:Alveolata,k:Eukaryota,p:Dinoflagellata,c:Dinophyceae,o:Dinophyceae_X 	 6
d:Alveolata,k:Eukaryota,p:Dinoflagellata,c:Dinophyceae,o:Peridiniales 	 1
d:Alveolata,k:Eukaryota,p:Dinoflagellata,c:Dinophyceae,o:Suessiales 	 2
d:Alveolata,k:Eukaryota,p:Dinoflagellata,c:Syndiniales,o:Dino-Group-II 	 2
d:Archaea,p:Thermoplasmatota,c:Thermoplasmata,o:Marine_Group_II,f:Marine_Group_II 	 7
d:Archaeplastida,k:Eukaryota,p:Chlorophyta,c:Mamiellophyceae,o:Dolichomastigales 	 1
d:Bacteria,p:Actinobacteriota,c:Acidimicrobiia,o:Actinomarinales,f:Actinomarinaceae 	 1
d:Bacteria,p:Actinobacteriota,c:Acidimicrobiia,o:Microtrichales,f:Ilumatobacteraceae 	 1
d:Bacteria,p:Actinobacteriota,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae 	 1
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae 	 1
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Cytophagales,f:Cyclobacteriaceae 	 1
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Crocinitomicaceae 	 6
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Cryomorphaceae 	 9
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Flavobacteriaceae 	 53
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group 	 25
d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Synechococcales,f:Cyanobiaceae 	 7
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:Marinimicrobia_(SAR406_clade),o:Marinimicrobia_(SAR406_clade),f:Marinimicrobia_(SAR406_clade) 	 1
d:Bacteria,p:NB1-j,c:NB1-j,o:NB1-j,f:NB1-j 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Defluviicoccales,f:uncultured 	 2
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Parvibaculales,f:OCS116_clade 	 17
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Puniceispirillales,f:SAR116_clade 	 11
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Hyphomicrobiaceae 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae 	 126
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:AEGEAN-169_marine_group 	 3
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Magnetospiraceae 	 4
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria 	 3
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_I 	 231
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_II 	 17
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_III 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_IV 	 16
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Thalassobaculales,f:Nisaeaceae 	 3
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:uncultured,f:uncultured 	 2
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Methylophilaceae 	 13
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Ectothiorhodospirales,f:Ectothiorhodospiraceae 	 4
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacterales,f:Alteromonadaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacterales,f:Colwelliaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacterales,f:Kangiellaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Nitrosococcales,f:Methylophagaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Cellvibrionaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Halieaceae 	 7
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:KI89A_clade 	 3
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Nitrincolaceae 	 31
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:OM182_clade 	 20
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Porticoccaceae 	 65
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudohongiellaceae 	 8
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:SAR86_clade 	 97
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Spongiibacteraceae 	 2
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Thioglobaceae 	 45
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Steroidobacterales,f:Woeseiaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Tenderiales,f:Tenderiaceae 	 2
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Thiotrichales,f:Thiotrichaceae 	 8
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:UBA10353_marine_group,f:UBA10353_marine_group 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:uncultured,f:uncultured 	 3
d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Opitutales,f:Puniceicoccaceae 	 9
d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Rubritaleaceae 	 5
d:Hacrobia,k:Eukaryota,p:Cryptophyta,c:Cryptophyceae,o:Cryptomonadales 	 1
