SampleID	RAS_WSC_04_1920_2
d:Unclassified	 23
d:Alveolata,k:Eukaryota,p:Ciliophora,c:Spirotrichea,o:Choreotrichida 	 3
d:Alveolata,k:Eukaryota,p:Ciliophora,c:Spirotrichea,o:Strombidiida 	 2
d:Alveolata,k:Eukaryota,p:Dinoflagellata,c:Dinophyceae,o:Dinophyceae_X 	 1
d:Alveolata,k:Eukaryota,p:Dinoflagellata,c:Dinophyceae,o:Suessiales 	 1
d:Alveolata,k:Eukaryota,p:Dinoflagellata,c:Syndiniales,o:Dino-Group-I 	 1
d:Archaea,p:Crenarchaeota,c:Nitrososphaeria,o:Nitrosopumilales,f:Nitrosopumilaceae 	 50
d:Archaeplastida:plas,k:Eukaryota:plas,p:Chlorophyta:plas,c:Mamiellophyceae:plas,o:Mamiellales:plas 	 1
d:Bacteria,p:Actinobacteriota,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae 	 1
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Cryomorphaceae 	 2
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Flavobacteriaceae 	 16
d:Bacteria,p:Dadabacteria,c:Dadabacteriia,o:Dadabacteriales,f:Dadabacteriales 	 2
d:Bacteria,p:Marinimicrobia_(SAR406_clade),c:Marinimicrobia_(SAR406_clade),o:Marinimicrobia_(SAR406_clade),f:Marinimicrobia_(SAR406_clade) 	 1
d:Bacteria,p:Nitrospinota,c:Nitrospinia,o:Nitrospinales,f:Nitrospinaceae 	 9
d:Bacteria,p:Nitrospinota,c:P9X2b3D02,o:P9X2b3D02,f:P9X2b3D02 	 1
d:Bacteria,p:Patescibacteria,c:ABY1,o:Candidatus_Magasanikbacteria,f:Candidatus_Magasanikbacteria 	 1
d:Bacteria,p:Planctomycetota,c:OM190,o:OM190,f:OM190 	 2
d:Bacteria,p:Planctomycetota,c:Phycisphaerae,o:Phycisphaerales,f:Phycisphaeraceae 	 2
d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Pirellulales,f:Pirellulaceae 	 2
d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Planctomycetales,f:Gimesiaceae 	 3
d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Planctomycetales,f:Rubinisphaeraceae 	 2
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:AT-s3-44,f:AT-s3-44 	 5
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Defluviicoccales,f:uncultured 	 3
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Kiloniellales,f:Kiloniellaceae 	 2
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Parvibaculales,f:OCS116_clade 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Puniceispirillales,f:SAR116_clade 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae 	 17
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:AEGEAN-169_marine_group 	 29
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Magnetospiraceae 	 22
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:S25-593 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_I 	 150
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_II 	 62
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_III 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_IV 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:uncultured 	 2
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sneathiellales,f:Sneathiellaceae 	 2
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Thalassobaculales,f:Nisaeaceae 	 4
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:uncultured,f:uncultured 	 3
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Arenicellales,f:Arenicellaceae 	 1
