SampleID	RAS_WSC_08_1718_1
d:Unclassified	 3
d:Alveolata,k:Eukaryota,p:Dinoflagellata,c:Dinophyceae,o:Dinophyceae_X 	 2
d:Alveolata,k:Eukaryota,p:Dinoflagellata,c:Syndiniales,o:Dino-Group-I 	 2
d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:PeM15,f:PeM15 	 1
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae 	 5
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Crocinitomicaceae 	 3
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:Flavobacteriaceae 	 52
d:Bacteria,p:Bacteroidota,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group 	 1
d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Synechococcales,f:Cyanobiaceae 	 3
d:Bacteria,p:Planctomycetota,c:Phycisphaerae,o:Phycisphaerales,f:Phycisphaeraceae 	 3
d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Pirellulales,f:Pirellulaceae 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Defluviicoccales,f:uncultured 	 2
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Kordiimonadales,f:uncultured 	 3
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Parvibaculales,f:OCS116_clade 	 4
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Puniceispirillales,f:SAR116_clade 	 10
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae 	 103
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:AEGEAN-169_marine_group 	 5
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Mitochondria 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_I 	 81
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_II 	 10
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:Clade_IV 	 8
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:SAR11_clade,f:uncultured 	 1
d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Thalassobaculales,f:Nisaeaceae 	 9
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Methylophilaceae 	 6
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Burkholderiales,f:Nitrosomonadaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Ectothiorhodospirales,f:Ectothiorhodospiraceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacterales,f:Colwelliaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Enterobacterales,f:Pseudoalteromonadaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Francisellales,f:Francisellaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Ga0077536,f:Ga0077536 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Halieaceae 	 5
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:KI89A_clade 	 2
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Nitrincolaceae 	 3
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:OM182_clade 	 3
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Porticoccaceae 	 11
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudohongiellaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:SAR86_clade 	 77
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Thioglobaceae 	 8
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Steroidobacterales,f:Woeseiaceae 	 1
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Thiotrichales,f:Thiotrichaceae 	 4
d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Opitutales,f:Opitutaceae 	 1
d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Opitutales,f:Puniceicoccaceae 	 33
d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Rubritaleaceae 	 8
d:Opisthokonta,k:Eukaryota,p:Metazoa,c:Arthropoda,o:Crustacea 	 1
d:Stramenopiles,k:Eukaryota,p:Ochrophyta,c:Bacillariophyta,o:Bacillariophyta_X 	 3
